year,name,,included,min_levelised_cost,,max_levelised_cost,,strike_price,,load_factor,pot_name,max_deployment_cap,,num_new_projects,num_new_projects_note,project_gen,project_gen_note,min_levelised_cost_note,max_levelised_cost_note,strike_price_note,load_factor_note,max_deployment_cap_note
2020,OFW,,True,71.3353908668731,,103.034791021672,,114.074615384615,,0.42,E,1.9,,,,832,,2,2,12,15,
2021,OFW,,True,71.1099729102167,,101.917093653251,,112.136153846154,,0.434,E,1.9,,,,832,,,,,,
2022,OFW,,True,70.8845549535604,,100.79939628483,,110.197692307692,,0.448,E,1.9,,,,832,,,,,,
2023,OFW,,True,70.659136996904,,99.6816989164087,,108.259230769231,,0.462,E,1.9,,,,832,,,,,,
2024,OFW,,True,70.4337190402477,,98.5640015479876,,106.320769230769,,0.476,E,1.9,,,,832,,,,,,
2025,OFW,,True,70.2083010835913,,97.4463041795666,,104.382307692308,,0.49,E,1.9,,,,832,,2,2,,15,
2026,OFW,,True,69.195606832104,,96.3265041921591,,102.443846153846,,0.49,E,1.9,,,,832,,,,,,
2027,OFW,,True,68.1829125806167,,95.2067042047516,,100.505384615385,,0.49,E,1.9,,,,832,,,,,,
2028,OFW,,True,67.1702183291293,,94.0869042173441,,98.5669230769231,,0.49,E,1.9,,,,832,,,,,,
2029,OFW,,True,66.157524077642,,92.9671042299366,,96.6284615384615,,0.49,E,1.9,,,,832,,,,,,
2030,OFW,,True,65.1448298261547,,91.847304242529,,94.69,,0.49,E,1.90000000000001,,,,832,,2,2,3,15,
2020,TS,,True,151.25,,225,,305,,0.31,E,0.066,,,,50,,,,,,
2021,TS,,True,143.125,,212.5,,305,,0.31,E,0.0068,,,,50,,,,,,
2022,TS,,True,135,,200,,305,,0.31,E,0.0068,,,,50,,,,,,
2023,TS,,True,126.875,,187.5,,305,,0.31,E,0.0068,,,,50,,,,,,
2024,TS,,True,118.75,,175,,305,,0.31,E,0.0068,,,,50,,,,,,
2025,TS,,True,110.625,,162.5,,305,,0.31,E,0.0068,,,,50,,,,,,
2026,TS,,True,102.5,,150,,305,,0.31,E,0.716485491235823,,,,50,,,,,,
2027,TS,,True,94.375,,137.5,,305,,0.31,E,0.716485491235822,,,,50,,,,,,
2028,TS,,True,86.25,,125,,305,,0.31,E,0.716485491235823,,,,50,,,,,,
2029,TS,,True,78.125,,112.5,,305,,0.31,E,0.716485491235823,,,,50,,,,,,
2030,TS,,True,70,,100,,305,,0.31,E,0.716485491235823,,,,50,,,,,,
2020,WA,,True,260.75,,298,,305,,0.31,E,0.034,,,,27,,,,,,
2021,WA,,True,245.875,,281,,305,,0.31,E,0.0032,,,,27,,,,,,
2022,WA,,True,231,,264,,305,,0.31,E,0.0032,,,,27,,,,,,
2023,WA,,True,216.125,,247,,305,,0.31,E,0.0032,,,,27,,,,,,
2024,WA,,True,201.25,,230,,305,,0.31,E,0.0032,,,,27,,,,,,
2025,WA,,True,186.375,,213,,305,,0.31,E,0.0032,,,,27,,,,,,
2026,WA,,True,171.5,,196,,305,,0.31,E,0.19,,,,27,,,,,,
2027,WA,,True,156.625,,179,,305,,0.31,E,0.19,,,,27,,,,,,
2028,WA,,True,141.75,,162,,305,,0.31,E,0.19,,,,27,,,,,,
2029,WA,,True,126.875,,145,,305,,0.31,E,0.19,,,,27,,,,,,
2030,WA,,True,112,,128,,305,,0.31,E,0.19,,,,27,,,,,,
2020,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2021,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2022,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2023,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2024,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2025,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2026,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2027,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2028,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2029,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2030,NW,,True,32.25,,32.25,,32.25,,1,FIT,0.32,,,,2760,,,,,,
2020,ONW,,True,61,,80,,80,,0.278125,M,0.73,,,,30,,,,,,
2021,ONW,,True,61.4,,81,,80,,0.2803125,M,0.73,,,,30,,,,,,
2022,ONW,,True,61.8,,82,,80,,0.2825,M,0.73,,,,30,,,,,,
2023,ONW,,True,62.2,,83,,80,,0.2846875,M,0.73,,,,30,,,,,,
2024,ONW,,True,62.6,,84,,80,,0.286875,M,0.73,,,,30,,,,,,
2025,ONW,,True,63,,85,,80,,0.2890625,M,0.73,,,,30,,,,,,
2026,ONW,,True,63.4,,87.6,,80,,0.29125,M,0.73,,,,30,,,,,,
2027,ONW,,True,63.8,,90.2,,80,,0.2934375,M,0.73,,,,30,,,,,,
2028,ONW,,True,64.2,,92.8,,80,,0.295625,M,0.73,,,,30,,,,,,
2029,ONW,,True,64.6,,95.4,,80,,0.2978125,M,0.73,,,,30,,,,,,
2030,ONW,,True,65,,98,,80,,0.3,M,0.73,,,,30,,,,,,
2020,PVLS,,True,84,,96,,80,,0.1113,M,0.78,,,,11.7,,,,,,
2021,PVLS,,True,81.8,,93.2,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2022,PVLS,,True,79.6,,90.4,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2023,PVLS,,True,77.4,,87.6,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2024,PVLS,,True,75.2,,84.8,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2025,PVLS,,True,73,,82,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2026,PVLS,,True,71.2,,80,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2027,PVLS,,True,69.4,,78,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2028,PVLS,,True,67.6,,76,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2029,PVLS,,True,65.8,,74,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2030,PVLS,,True,64,,72,,80,,0.1113,M,1.53,,,,11.7,,,,,,
2020,NU,,True,79,,102,,100.609806276033,,0.8,SN,0,,,,10000,,,,,,
2021,NU,,True,78.2,,101.8,,98.9878450208266,,0.8,SN,0,,,,10000,,,,,,
2022,NU,,True,77.4,,101.6,,97.3658837656199,,0.8,SN,0,,,,10000,,,,,,
2023,NU,,True,76.6,,101.4,,90,,0.8,SN,0,,,,10000,,,,,,
2024,NU,,True,75.8,,101.2,,90,,0.8,SN,2.9,,,,10000,,,,,,
2025,NU,,True,75,,101,,92.5,,0.9,SN,0,,,,10000,,,,,,
2026,NU,,True,73.4,,98.6,,89.8,,0.9,SN,3.2,,,,10000,,,,,,
2027,NU,,True,71.8,,96.2,,87.1,,0.9,SN,2.9,,,,10000,,,,,,
2028,NU,,True,70.2,,93.8,,84.4,,0.9,SN,1.6,,,,10000,,,,,,
2029,NU,,True,68.6,,91.4,,81.7,,0.9,SN,0,,,,10000,,,,,,
2030,NU,,True,67,,89,,79,,0.92,SN,0,,,,10000,,,,,,
2020,TL,,True,150,,150,,0,,0.22,E,,,0,,2200,,,,,,
2021,TL,,True,150,,150,,168,,0.22,E,,,1,,2200,,,,,,
2022,TL,,True,150,,150,,168,,0.22,E,,,0,,2200,,,,,,
2023,TL,,True,150,,150,,168,,0.22,E,,,0,,2200,,,,,,
2024,TL,,True,150,,150,,168,,0.22,E,,,0,,2200,,,,,,
2025,TL,,True,90,,150,,92,,0.22,E,,,1,,2200,,,,,,
2026,TL,,True,120,,120,,129,,0.22,E,,,1,,2200,,,,,,
2027,TL,,True,120,,120,,129,,0.22,E,,,1,,2200,,,,,,
2028,TL,,True,120,,120,,129,,0.22,E,,,1,,2200,,,,,,
2029,TL,,True,120,,120,,129,,0.22,E,,,1,,2200,,,,,,
2030,TL,,True,120,,120,,129,,0.22,E,,,1,,2200,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,p,,,,,,,,,,,,,,,,
,,,,,s,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,
source,num,link,notes,,local_link,,,,,,,,,,,,,,,,,
CCC 2014 Progress Report  (p113) ,1,http://www.theccc.org.uk/wp-content/uploads/2014/07/CCC-Progress-Report-2014_web_2.pdf,NOT USED - NOT IN LINE - Outturn costs have been £140-165/MWh and industry has committed to reduce to £100/MWh by 2023. DECC cheaper in 2015 but not declining as strongly by 2025,,,,,,,,,,,,,,,,,,,
CCC LCF information from DB email 26/06/15,1a,,NOT USED - NOT IN LINE - CCC  latest assumption are for lower LCOE at just over £100/MWh in 2020 falling to £90/Mwh in 2030,,Data\CCC's LCF information (CONFIDENTIAL until Tuesday).msg,,,,,,,,,,,,,,,,,
"DECC Energy Generation Costs Projections 2013 (pg36) Table 13, ",2,https://www.gov.uk/government/collections/energy-generation-cost-projections,"Levelised Cost Estimates for Projects Commissioing in YYYY, technology specific hurdle rate, £/MWh (in 2012 prices) Offshore Round 2 until XXXX and Round 2 and 3 thereafter (no 2015 figures)",,,,,,,,,,,,,,,,,,,
"BVG Associates, June 2015, ",3,http://www.theccc.org.uk/wp-content/uploads/2015/06/BVG-Associates-2015-Approaches-to-cost-reduction-in-offshore-wind.pdf,Offshore wind cost reduction scenario used in the CCC progress report getting to below £100MWh in 2030 with the balanced scenario(p.54),,,,,,,,,,,,,,,,,,,
"DECC, Energy Trends June 2015: Tables 5.1 & 6.1",4,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/437455/Energy_Trends_June_2015.pdf ,,,Data\201415 Renewable Generation.xlsx,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,
"NAO report, Early contracts for renewable electricity (2014)",6,http://www.nao.org.uk/wp-content/uploads/2014/06/Early-contracts-for-renewable-electricity1.pdf ,Figure 6. ,,Data\FiDeR Generation.xlsx,,,,,,,,,,,,,,,,,
"DECC, Cfd Auction Round 1 Results, Feb 2015",7,https://www.gov.uk/government/statistics/cfd-auction-allocation-round-one-a-breakdown-of-the-outcome-by-technology-year-and-clearing-price,Offshore wind cleared at £119.89 for 714MW from 2017/18 and at £114.39 for 448 MW from 2018/19,,,,,,,,,,,,,,,,,,,
Pöyry (2013) Technology Supply Curves for Low-Carbon Power Generation,8,https://www.theccc.org.uk/wp-content/uploads/2013/05/325_Technology-supply-curves-v5.pdf,"Report used in the CCC June 2014 Progress Report – Offshore wind current/2013 - 3 GW,  2020  -  12-15 GW, and 2030  - 25 - 40 GW ",,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,
,10,,FIDER hard copy,,,,,,,,,,,,,,,,,,,
Pöyry (2013) Technology Supply Curves for Low-Carbon Power Generation (pg 8) ,11,https://www.theccc.org.uk/wp-content/uploads/2013/05/325_Technology-supply-curves-v5.pdf,Figure 1. from a graph 2017 - 2030 (in 2012 prices),,Data\Strike Prices_CCC.xlsx,,,,,,,,,,,,,,,,,
"DECC, Cfd Auction Round 1 Results, Feb 2015",12,https://www.gov.uk/government/statistics/cfd-auction-allocation-round-one-a-breakdown-of-the-outcome-by-technology-year-and-clearing-price,Offshore wind cleared at £119.89 for 714MW from 2017/18 and at £114.39 for 448 MW from 2018/19 in 2012 prices,,,,,,,,,,,,,,,,,,,
GA estimate,13,,"Based on minimum of the range of new offshore wind projects, 250 MW, typical or avearge project around 500MW, equivalent to minimum 832GWh and average 1,665GWh",,,,,,,,,,,,,,,,,,,
DECC (2011) 2050 Pathway Analysis Consultation ,14,https://econsultation.decc.gov.uk/decc-executive/2050_pathways/results/404919_pathwaysreport_pt2_final_040311.pdf,NOT USED: DECC 2050 Caluclator assumption on max load factor capacity (p.85) Data are also available for 2035 - 2050 with a constant 45% load factor ,,,,,,,,,,,,,,,,,,,
The Crown Estate (2015) Offshore wind operational report,15,http://www.thecrownestate.co.uk/media/5462/ei-offshore-wind-operational-report-2015.pdf,The average load factor in the UK’s offshore wind portfolio in 2014 was 38% (p.11)  it is anticipated that some future UK projects adopting emerging technology may exceed a 50% load factor.,,,,,,,,,,,,,,,,,,,
Statkraft UK (2015) Offshore wind: delivering more for less (p.12),16,http://statkraft.com/globalassets/4-statkraft-uk/offshore_wind_more_for_less_pages.pdf,"Based on conversations with the wind industry, the range given in the Statkraft report is a bit misleading on the low end as it includes repowering. So bottom end of the range excluding repowering is 2025: £77/MWh and 2030: £70/MWh. Statkraft data were in 2015 calendar £ hence we converted them into 2012 fiscal £",,Data\Statkraft LCOE (2015 prices) conversion in 2012 fiscal years.xlsx,,,,,,,,,,,,,,,,,
